Taxon name,Taxon family
Sphagnum lindbergii,Sphagnaceae
Sphagnum obtusum,Sphagnaceae
Sphagnum orientale,Sphagnaceae
Sphagnum russowii,Sphagnaceae
Sphagnum squarrosum,Sphagnaceae
Sphagnum steerei,Sphagnaceae
Sphagnum teres,Sphagnaceae
Sphagnum warnstorfii,Sphagnaceae
Spiranthes romanzoffiana,Orchidaceae
Splachnum ampullaceum,Splachnaceae
Splachnum vasculosum,Splachnaceae
Stegonia latifolia var. latifolia,Pottiaceae
Stegonia latifolia var. pilifera,Pottiaceae
Stellaria borealis subsp. borealis,Caryophyllaceae
Stellaria crassifolia,Caryophyllaceae
Stellaria humifusa,Caryophyllaceae
Stellaria longipes subsp. longipes,Caryophyllaceae
Straminergon stramineum,Calliergonaceae
Stuckenia filiformis subsp. alpina,Potamogetonaceae
Stuckenia filiformis subsp. occidentalis,Potamogetonaceae
Stuckenia vaginata,Potamogetonaceae
Suaeda calceoliformis,Chenopodiaceae
Symphyotrichum boreale,Asteraceae
Symphyotrichum pygmaeum,Asteraceae
Taraxacum ceratophorum,Asteraceae
Taraxacum hyparcticum,Asteraceae
Taraxacum lapponicum,Asteraceae
Taraxacum officinale,Asteraceae
Taraxacum phymatocarpum,Asteraceae
Taraxacum scopulorum,Asteraceae
Tayloria acuminata,Splachnaceae
Tayloria hornschuchii,Splachnaceae
Tayloria lingulata,Splachnaceae
Tayloria splachnoides,Splachnaceae
Tephroseris frigida,Asteraceae
Tephroseris palustris,Asteraceae
Tetraplodon angustatus,Splachnaceae
Tetraplodon mnioides,Splachnaceae
Tetraplodon pallidus,Splachnaceae
Tetraplodon paradoxus,Splachnaceae
Tetraplodon urceolatus,Splachnaceae
Timmia austriaca,Timmiaceae
Timmia megapolitana subsp. bavarica,Timmiaceae
Timmia norvegica var. excurrens,Timmiaceae
Timmia norvegica var. norvegica,Timmiaceae
Timmia sibirica,Timmiaceae
Tofieldia coccinea,Liliaceae
Tofieldia pusilla,Liliaceae
Tomentypnum falcifolium,Amblystegiaceae
Tomentypnum nitens,Amblystegiaceae
Tortella fragilis,Pottiaceae
Tortella tortuosa var. arctica,Pottiaceae
Tortella tortuosa var. tortuosa,Pottiaceae
Tortula cernua,Pottiaceae
Tortula cuneifolia,Pottiaceae
Tortula hoppeana,Pottiaceae
Tortula laureri,Pottiaceae
Tortula leucostoma,Pottiaceae
Tortula mucronifolia,Pottiaceae
Tortula muralis,Pottiaceae
Tortula systylia,Pottiaceae
Transberingia bursifolia subsp. bursifolia,Brassicaceae
Trichophorum alpinum,Cyperaceae
Trichophorum cespitosum,Cyperaceae
Trichostomum arcticum,Pottiaceae
Triglochin maritima,Juncaginaceae
Triglochin palustris,Juncaginaceae
Tripleurospermum maritimum subsp. phaeocephalum,Asteraceae
Trisetum,Poaceae
Trisetum cernuum,Poaceae
Trisetum spicatum,Poaceae
Ulota curvifolia,Orthotrichaceae
Vaccinium cespitosum,Ericaceae
Vaccinium oxycoccos,Ericaceae
Vaccinium uliginosum,Ericaceae
Vaccinium vitis-idaea,Ericaceae
Vahlodea,Poaceae
Vahlodea atropurpurea,Poaceae
Veronica alpina,Plantaginaceae
Veronica scutellata,Plantaginaceae
Veronica wormskjoldii subsp. nutans,Plantaginaceae
Veronica wormskjoldii subsp. wormskjoldii,Plantaginaceae
Viola adunca var. adunca,Violaceae
Viola epipsila var. repens,Violaceae
Viola macloskeyi,Violaceae
Viola nephrophylla,Violaceae
Viola palustris,Violaceae
Viola renifolia,Violaceae
Voitia hyperborea,Splachnaceae
Warnstorfia fluitans,Calliergonaceae
Zostera marina,Zosteraceae
×arctodupontia,Poaceae
×arctodupontia scleroclada,Poaceae
